bank_txn_id,invoice_id,bank_amount,invoice_amount,bank_date,invoice_date,narration,party_name,confidence,amount_score,date_score,desc_score
BNK0050,INV0062,11862.87,11862.87,2026-08-07,2026-08-07,Nakoda Fabrics,Nakoda Fabrics,1.0,1.0,1.0,1.0
BNK0052,INV0066,9952.15,9952.15,2026-08-13,2026-08-13,Global Spares Ltd,Global Spares Ltd,1.0,1.0,1.0,1.0
BNK0025,INV0030,53574.8,53574.8,2026-08-22,2026-08-22,Anand Motors NEFT/751332/TXN,Anand Motors,1.0,1.0,1.0,1.0
BNK0053,INV0068,5054.45,5054.45,2026-08-09,2026-08-09,Anand Motors,Anand Motors,1.0,1.0,1.0,1.0
BNK0051,INV0064,5783.29,5783.29,2026-08-25,2026-08-25,Patil Logistics,Patil Logistics,1.0,1.0,1.0,1.0
BNK0014,INV0019,55482.43,55482.43,2026-08-23,2026-08-23,Deshmukh & Co,Deshmukh & Co,1.0,1.0,1.0,1.0
BNK0029,INV0036,38491.58,38491.58,2026-08-30,2026-08-30,Global Spares Ltd NEFT/395442/TXN,Global Spares Ltd,1.0,1.0,1.0,1.0
BNK0016,INV0021,93618.21,93618.21,2026-08-28,2026-08-28,Patil Logistics NEFT/161483/TXN,Patil Logistics,1.0,1.0,1.0,1.0
BNK0012,INV0017,8867.82,8867.82,2026-08-10,2026-08-10,Nakoda Fabrics,Nakoda Fabrics,1.0,1.0,1.0,1.0
BNK0013,INV0018,59331.6,59331.6,2026-08-28,2026-08-28,Blue Star Distributors NEFT/585100/TXN,Blue Star Distributors,1.0,1.0,1.0,1.0
BNK0038,INV0048,65106.5,65106.5,2026-08-04,2026-08-04,Sharma Textiles NEFT/266931/TXN,Sharma Textiles,1.0,1.0,1.0,1.0
BNK0020,INV0025,64162.38,64161.38,2026-08-23,2026-08-23,Om Sai Enterprises,Om Sai Enterprises,0.9998,0.9995,1.0,1.0
BNK0021,INV0026,62091.31,62091.31,2026-08-20,2026-08-20,Blue Sta rDistributors,Blue Star Distributors,0.9841,1.0,1.0,0.9545
BNK0006,INV0009,56596.34,56596.34,2026-08-26,2026-08-26,Globla Spares Ltd,Global Spares Ltd,0.9794,1.0,1.0,0.9412
BNK0031,INV0038,24559.67,24559.67,2026-08-18,2026-08-18,Kolhapu rTraders,Kolhapur Traders,0.9781,1.0,1.0,0.9375
BNK0024,INV0029,94020.43,94020.43,2026-08-21,2026-08-21,Patil Logisitcs,Patil Logistics,0.9767,1.0,1.0,0.9333
BNK0034,INV0041,22006.49,22006.49,2026-08-05,2026-08-05,Dsehmukh & Co,Deshmukh & Co,0.9731,1.0,1.0,0.9231
BNK0049,INV0060,83660.0,83660.5,2026-08-27,2026-08-27,Deshmukh &C o,Deshmukh & Co,0.973,0.9998,1.0,0.9231
BNK0019,INV0024,16706.16,16708.16,2026-08-12,2026-08-12,Deshmuhk & Co,Deshmukh & Co,0.9711,0.996,1.0,0.9231
BNK0041,INV0051,28942.26,28942.26,2026-08-07,2026-08-06,Verma Electronics NEFT/910891/TXN,Verma Electronics,0.97,1.0,0.8,1.0
BNK0043,INV0053,26126.88,26126.88,2026-08-18,2026-08-17,Anand Motors,Anand Motors,0.97,1.0,0.8,1.0
BNK0040,INV0050,73363.98,73363.98,2026-08-12,2026-08-11,Patil Logistics,Patil Logistics,0.97,1.0,0.8,1.0
BNK0032,INV0039,26045.92,26066.34,2026-08-20,2026-08-19,Konkan Foods NEFT/449759/TXN,Konkan Foods,0.9569,0.9739,0.8,1.0
BNK0022,INV0027,17501.46,17501.46,2026-08-24,2026-08-24,Blu eStar Distributors,BLUESTARDIST,0.9417,1.0,1.0,0.8333
BNK0030,INV0037,44402.65,44402.65,2026-08-09,2026-08-09,Blue StarD istributors,BLUESTARDIST,0.9417,1.0,1.0,0.8333
BNK0017,INV0022,82516.22,82516.22,2026-08-15,2026-08-13,Om Sai Enterprises NEFT/543555/TXN,Om Sai Enterprises,0.94,1.0,0.6,1.0
BNK0010,INV0014,35065.07,35064.57,2026-08-14,2026-08-12,Verma Electronics NEFT/531071/TXN,Verma Electronics,0.9397,0.9995,0.6,1.0
BNK0026,INV0032,22913.99,22915.99,2026-08-04,2026-08-02,Sharma Textiles,Sharma Textiles,0.9385,0.9971,0.6,1.0
BNK0001,INV0001,11886.89,11909.45,2026-08-25,2026-08-24,Blue Star Distributors NEFT/352572/TXN,Blue Star Distributors,0.9384,0.9369,0.8,1.0
BNK0039,INV0049,84205.55,84227.72,2026-08-27,2026-08-25,Blue Star Distributors NEFT/140605/TXN,Blue Star Distributors,0.9356,0.9912,0.6,1.0
BNK0011,INV0016,44456.23,44456.23,2026-08-04,2026-08-04,Anand Motors NEFT/863587/TXN,ANANMOTO,0.9125,1.0,1.0,0.75
BNK0005,INV0008,52452.03,52452.03,2026-08-08,2026-08-08,Anand Motors,ANANMOTO,0.9125,1.0,1.0,0.75
BNK0015,INV0020,5784.58,5784.58,2026-08-08,2026-08-08,Verma Electronics,VERMELEC,0.9125,1.0,1.0,0.75
BNK0046,INV0056,58436.71,58438.71,2026-08-05,2026-08-05,Konkan Foods NEFT/552248/TXN,KONKFOOD,0.9119,0.9989,1.0,0.75
BNK0036,INV0043,82013.12,82013.12,2026-08-08,2026-08-05,Sharma Textiles,Sharma Textiles,0.91,1.0,0.4,1.0
BNK0008,INV0012,21631.84,21631.84,2026-08-28,2026-08-25,Kolhapur Traders,Kolhapur Traders,0.91,1.0,0.4,1.0
BNK0044,INV0054,48966.24,48968.24,2026-08-07,2026-08-04,Kolhapur Traders NEFT/636265/TXN,Kolhapur Traders,0.9093,0.9986,0.4,1.0
BNK0048,INV0059,47184.63,47184.63,2026-08-04,2026-08-04,Deshmukh & Co,DESH&CO,0.9046,1.0,1.0,0.7273
BNK0002,INV0003,11075.78,11083.3,2026-08-27,2026-08-24,Anand Motors NEFT/903035/TXN,Anand Motors,0.8987,0.9774,0.4,1.0
BNK0028,INV0035,30898.6,30922.38,2026-08-24,2026-08-21,Anand Motors NEFT/208618/TXN,Anand Motors,0.8972,0.9744,0.4,1.0
BNK0037,INV0044,16458.32,16458.32,2026-08-25,2026-08-22,Blue tSar Distributors,Blue Star Distributors,0.8941,1.0,0.4,0.9545
BNK0023,INV0028,16780.13,16778.13,2026-08-14,2026-08-13,Om Sai Enterprises NEFT/802258/TXN,OMSAIENTE,0.8902,0.996,0.8,0.7778
BNK0027,INV0034,86880.23,86878.23,2026-08-22,2026-08-19,O mSai Enterprises,Om Sai Enterprises,0.8901,0.9992,0.4,0.9444
BNK0018,INV0023,43893.36,43893.86,2026-08-28,2026-08-27,Patil Logistics,PATILOGI,0.889,0.9996,0.8,0.7692
BNK0004,INV0006,48739.49,48750.72,2026-08-02,2026-08-01,Om Sai Enterprises NEFT/847581/TXN,OMSAIENTE,0.8884,0.9923,0.8,0.7778
BNK0033,INV0040,85446.44,85446.44,2026-08-16,2026-08-13,Nakoda aFbrics,Nakoda Fabrics,0.885,1.0,0.4,0.9286
BNK0007,INV0010,72446.49,72448.49,2026-08-06,2026-08-06,Sharma Textiles,SHARTEXT,0.8829,0.9991,1.0,0.6667
BNK0045,INV0055,29404.59,29404.59,2026-08-24,2026-08-21,Blue Star Distributors,BLUESTARDIST,0.8517,1.0,0.4,0.8333
BNK0009,INV0013,11057.16,11056.66,2026-08-15,2026-08-13,Deshmukh & Co,DESH&CO,0.8438,0.9985,0.6,0.7273
BNK0047,INV0058,87379.14,87379.14,2026-08-22,2026-08-20,Konkan oFods,KONKFOOD,0.8233,1.0,0.6,0.6667
